FID,MSTSENDES,Cnt_MSTSENDES
-1,10D: Scrub-shrub wetlands,3689
-1,"1B: Exposed, solid man-made structures",9
-1,"2A: Exposed wave-cut platforms in bedrock, mud, or clay",2
-1,3A: Fine- to medium- grained sand beaches,30
-1,4: Coarse-grained sand beaches,21
-1,5: Mixed sand and gravel beaches,3
-1,6B: Exposed riprap,132
-1,7: Exposed tidal flats; Sand flats,3
