Range (NSM),Count,Percentage of total transects (n=82)
-41.8 <NSM <= -20.1,6,7.30%
-20.1 <NSM <= -13.4,19,23.20%
-13.4 <NSM <= -6.7,10,12.20%
-6.7 <NSM <= 2.9,21,25.60%
2.9 <NSM <= 5.8,10,12.20%
5.8 <NSM <= 8.7,12,14.60%
8.7 <NSM <= 9.9,4,4.90%
