Range (LRR),Count,Percentage of total transects (n=82)
 -5.0 < LRR <= -3.0,7,8.50%
 -3.0 < LRR <= -2.0,12,14.60%
 -2.0 < LRR <= -1.0,25,30.50%
 -1.0 < LRR <= -0.5,17,20.70%
 -0.5 < LRR <= 0.5,21,25.60%
 0.5 < LRR <= 1.0,0,0%
 1.0 < LRR <= 2.0,0,0%
 2.0 < LRR <= 3.0,0,0%
 3.0 < LRR <= 4.0,0,0%
