Range (NSM),Count,Percentage of total transects (n=82)
-91.8 <NSM <= -68.5,9,11.00%
-68.5 <NSM <= -45.7,15,18.30%
-45.7 <NSM <= -22.9,21,25.60%
-22.9 <NSM <= -10.0,11,13.40%
-10.0 <NSM <= 3.5,16,19.50%
3.5 <NSM <= 7.0,4,4.90%
7.0 <NSM <= 10.5,5,6.10%
10.5 <NSM <= 11,1,1.20%
