Range (NSM),Count,Percentage of total transects (n=82)
-70.5 <NSM <= -35.9,10,12.20%
-35.9 <NSM <= -23.9,13,15.90%
-23.9 <NSM <= -12.0,26,31.70%
-12.0 <NSM <=-10.0,6,7.30%
-10.0 <NSM <= 2.2,24,29.30%
2.2 <NSM <= 4.3,2,2.40%
4.3 <NSM <= 6.4,1,1.20%
