Range (LRR),Count,Percentage of total transects (n=82)
 -4.0 < LRR <= -3.0,2,2.40%
 -3.0 < LRR <= -2.0,7,8.50%
 -2.0 < LRR <= -1.0,32,39.00%
 -1.0 < LRR <= -0.5,12,14.60%
 -0.5 < LRR <= 0.5,23,28.00%
 0.5 < LRR <= 1.0,6,7.30%
 1.0 < LRR <= 2.0,0,0%
 2.0 < LRR <= 3.0,0,0%
 3.0 < LRR <= 4.0,0,0%
